OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
198,1980,2104404,Gonçalves Dias,MA,REGIÃO NORDESTE,0.01369953,0.01569883,0.00050387,0,0,0.00773074,0.00021155,0.03784452,1.52332432777668,0.0908039395949059
199,1980,2104503,Governador Archer,MA,REGIÃO NORDESTE,0.00668968,0.01024026,0.00017409,0,0,0.0044937,0,0.02159773,0.864967317975941,0.0345728482391742
200,1980,2104602,Governador Eugênio Barros,MA,REGIÃO NORDESTE,0.00438532,0.02322531,0.00191755,0,0,0.00448826,0.00062191,0.03463836,1.49602910416911,0.0884725934588799
201,1980,2104701,Graça Aranha,MA,REGIÃO NORDESTE,0.00925231,0.00381139,0.00017272,0,0,0.00265084,0,0.01588725,0.905896061853691,0.0292611027572948
202,1980,2104800,Grajaú,MA,REGIÃO NORDESTE,0.02578227,0.05364176,0.00080727,0.00037098,0,0.06013214,0.00480266,0.14553708,7.64315945013969,1.38492384381797
203,1980,2104909,Guimarães,MA,REGIÃO NORDESTE,0.01203568,0.01106397,0.00086535,0.0001367,0,0.0021488,0.00035529,0.02660579,1.27106900004098,0.0499323414493724
204,1980,2105005,Humberto de Campos,MA,REGIÃO NORDESTE,0.01135451,0.01800053,0.00031523,0.00034483,0,0.01019286,0,0.04020797,2.31049066174718,0.196417680534252
205,1980,2105104,Icatu,MA,REGIÃO NORDESTE,0.00971055,0.01945493,0.00107215,0.00037112,0,0.00250382,0,0.03311257,1.61830991033728,0.12498624398853
206,1980,2105203,Igarapé Grande,MA,REGIÃO NORDESTE,0.0110001,0.01445785,0.00106104,0,0,0.02416033,9.483e-05,0.05077415,1.18767711560754,0.0524055354099168
207,1980,2105302,Imperatriz,MA,REGIÃO NORDESTE,0.49603493,0.12326825,0.05232131,4.1e-07,0,0.18277761,0.00396712,0.85836963,7.46476272400454,1.12885504117661
208,1980,2105401,Itapecuru Mirim,MA,REGIÃO NORDESTE,0.03558408,0.03664791,0.00306031,1e-08,0,0.01756166,0.00565382,0.09850779,1.97308580505108,0.124935232631956
